strain	Accession_ID	date	division	Pango_lineage	Variant	division2	pango.group	label
Canada/AB-ABPHL-45517/2021	EPI_ISL_8844562	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45517_2021
Canada/AB-ABPHL-45523/2021	EPI_ISL_8844568	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45523_2021
Canada/AB-ABPHL-45524/2021	EPI_ISL_8844569	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45524_2021
Canada/AB-ABPHL-45530/2021	EPI_ISL_8844574	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45530_2021
Canada/AB-ABPHL-45534/2021	EPI_ISL_8844578	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45534_2021
Canada/AB-ABPHL-45540/2021	EPI_ISL_8844582	2021-12-13	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45540_2021
Canada/AB-ABPHL-45543/2021	EPI_ISL_8844585	2021-12-13	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45543_2021
Canada/AB-ABPHL-45557/2021	EPI_ISL_8844598	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45557_2021
Canada/AB-ABPHL-45561/2021	EPI_ISL_8844602	2021-12-13	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45561_2021
Canada/AB-ABPHL-45562/2021	EPI_ISL_8844603	2021-12-13	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45562_2021
Canada/AB-ABPHL-45563/2021	EPI_ISL_8844604	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45563_2021
Canada/AB-ABPHL-45571/2021	EPI_ISL_8844606	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45571_2021
Canada/AB-ABPHL-45575/2021	EPI_ISL_8844610	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45575_2021
Canada/AB-ABPHL-45576/2021	EPI_ISL_8844611	2021-12-13	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45576_2021
Canada/AB-ABPHL-46957/2021	EPI_ISL_8595302	2021-12-20	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-46957_2021
Canada/AB-ABPHL-47013/2021	EPI_ISL_8595349	2021-12-20	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47013_2021
Canada/AB-ABPHL-47069/2021	EPI_ISL_8595395	2021-12-21	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47069_2021
Canada/AB-ABPHL-47201/2021	EPI_ISL_8595504	2021-12-15	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47201_2021
Canada/AB-ABPHL-47203/2021	EPI_ISL_8595506	2021-12-15	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47203_2021
Canada/AB-ABPHL-47402/2021	EPI_ISL_8595688	2021-12-22	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47402_2021
Canada/AB-ABPHL-47426/2021	EPI_ISL_8595711	2021-12-22	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47426_2021
Canada/AB-ABPHL-47496/2021	EPI_ISL_8595772	2021-12-21	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47496_2021
Canada/AB-ABPHL-47706/2021	EPI_ISL_8595923	2021-12-21	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47706_2021
Canada/AB-ABPHL-47876/2021	EPI_ISL_8596074	2021-12-21	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47876_2021
Canada/AB-ABPHL-47904/2021	EPI_ISL_8596097	2021-12-21	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47904_2021
Canada/AB-ABPHL-47909/2021	EPI_ISL_8596102	2021-12-18	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47909_2021
Canada/AB-ABPHL-47910/2021	EPI_ISL_8596103	2021-12-20	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47910_2021
Canada/AB-ABPHL-47916/2021	EPI_ISL_8596107	2021-12-22	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47916_2021
Canada/AB-ABPHL-47918/2021	EPI_ISL_8596109	2021-12-22	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47918_2021
Canada/AB-ABPHL-47937/2021	EPI_ISL_8596127	2021-12-22	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47937_2021
Canada/AB-ABPHL-47951/2021	EPI_ISL_8596139	2021-12-25	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-47951_2021
Canada/AB-ABPHL-48022/2021	EPI_ISL_8596202	2021-12-25	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48022_2021
Canada/AB-ABPHL-48023/2021	EPI_ISL_8596203	2021-12-25	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48023_2021
Canada/AB-ABPHL-48029/2021	EPI_ISL_8596207	2021-12-27	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48029_2021
Canada/AB-ABPHL-48030/2021	EPI_ISL_8596208	2021-12-23	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48030_2021
Canada/AB-ABPHL-48057/2021	EPI_ISL_8596220	2021-12-23	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48057_2021
Canada/AB-ABPHL-48078/2021	EPI_ISL_8596224	2021-12-24	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48078_2021
Canada/AB-ABPHL-48079/2021	EPI_ISL_8596225	2021-12-23	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48079_2021
Canada/AB-ABPHL-48116/2021	EPI_ISL_8596240	2021-12-22	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48116_2021
Canada/AB-ABPHL-48245/2021	EPI_ISL_8596333	2021-12-25	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48245_2021
Canada/AB-ABPHL-48326/2021	EPI_ISL_8846538	2021-12-28	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48326_2021
Canada/AB-ABPHL-48328/2021	EPI_ISL_8846540	2021-12-28	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48328_2021
Canada/AB-ABPHL-48335/2021	EPI_ISL_8846546	2021-12-29	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48335_2021
Canada/AB-ABPHL-48346/2021	EPI_ISL_8846554	2021-12-27	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48346_2021
Canada/AB-ABPHL-48360/2021	EPI_ISL_8846567	2021-12-28	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48360_2021
Canada/AB-ABPHL-48371/2021	EPI_ISL_8846577	2021-12-29	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48371_2021
Canada/AB-ABPHL-48375/2021	EPI_ISL_8846581	2021-12-30	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48375_2021
Canada/AB-ABPHL-48378/2021	EPI_ISL_8846584	2021-12-27	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48378_2021
Canada/AB-ABPHL-48379/2021	EPI_ISL_8846585	2021-12-29	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48379_2021
Canada/AB-ABPHL-48389/2021	EPI_ISL_8846595	2021-12-27	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48389_2021
Canada/AB-ABPHL-48391/2021	EPI_ISL_8846598	2021-12-27	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48391_2021
Canada/AB-ABPHL-48406/2021	EPI_ISL_8846611	2021-12-27	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48406_2021
Canada/AB-ABPHL-48414/2021	EPI_ISL_8846619	2021-12-28	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48414_2021
Canada/AB-ABPHL-48460/2021	EPI_ISL_8846632	2021-12-31	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48460_2021
Canada/AB-ABPHL-48464/2021	EPI_ISL_8846635	2021-12-29	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48464_2021
Canada/AB-ABPHL-48473/2021	EPI_ISL_8846637	2021-12-29	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48473_2021
Canada/AB-ABPHL-48479/2021	EPI_ISL_8846639	2021-12-30	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48479_2021
Canada/AB-ABPHL-48481/2021	EPI_ISL_8846640	2021-12-30	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48481_2021
Canada/AB-ABPHL-48499/2021	EPI_ISL_8846651	2021-12-29	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48499_2021
Canada/AB-ABPHL-48512/2021	EPI_ISL_8846661	2021-12-30	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48512_2021
Canada/AB-ABPHL-48513/2021	EPI_ISL_8846662	2021-12-30	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48513_2021
Canada/AB-ABPHL-48572/2021	EPI_ISL_8846663	2021-12-24	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48572_2021
Canada/AB-ABPHL-48577/2021	EPI_ISL_8846668	2021-12-25	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48577_2021
Canada/AB-ABPHL-48584/2021	EPI_ISL_8846675	2021-12-26	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48584_2021
Canada/AB-ABPHL-48619/2021	EPI_ISL_8846689	2021-12-27	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48619_2021
Canada/AB-ABPHL-48622/2021	EPI_ISL_8846690	2021-12-27	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48622_2021
Canada/AB-ABPHL-48632/2021	EPI_ISL_8846695	2021-12-27	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48632_2021
Canada/AB-ABPHL-48642/2021	EPI_ISL_8846702	2021-12-30	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48642_2021
Canada/AB-ABPHL-48649/2021	EPI_ISL_8846707	2021-12-30	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48649_2021
Canada/AB-ABPHL-48651/2021	EPI_ISL_8846709	2021-12-29	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48651_2021
Canada/AB-ABPHL-48663/2022	EPI_ISL_8846720	2022-01-01	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48663_2022
Canada/AB-ABPHL-48665/2022	EPI_ISL_8846721	2022-01-01	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48665_2022
Canada/AB-ABPHL-48666/2022	EPI_ISL_8846722	2022-01-01	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48666_2022
Canada/AB-ABPHL-48669/2021	EPI_ISL_8846725	2021-12-29	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48669_2021
Canada/AB-ABPHL-48678/2021	EPI_ISL_8846730	2021-12-31	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48678_2021
Canada/AB-ABPHL-48682/2021	EPI_ISL_8846732	2021-12-30	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48682_2021
Canada/AB-ABPHL-48687/2021	EPI_ISL_8846737	2021-12-30	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48687_2021
Canada/AB-ABPHL-48745/2021	EPI_ISL_8846783	2021-12-24	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48745_2021
Canada/AB-ABPHL-48752/2021	EPI_ISL_8846791	2021-12-26	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48752_2021
Canada/AB-ABPHL-48759/2021	EPI_ISL_8844111	2021-12-26	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48759_2021
Canada/AB-ABPHL-48767/2021	EPI_ISL_8846803	2021-12-27	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48767_2021
Canada/AB-ABPHL-48776/2021	EPI_ISL_8846812	2021-12-27	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48776_2021
Canada/AB-ABPHL-48783/2021	EPI_ISL_8846819	2021-12-26	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48783_2021
Canada/AB-ABPHL-48791/2021	EPI_ISL_8846827	2021-12-27	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48791_2021
Canada/AB-ABPHL-48796/2021	EPI_ISL_8846832	2021-12-28	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48796_2021
Canada/AB-ABPHL-48798/2021	EPI_ISL_8846835	2021-12-20	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48798_2021
Canada/AB-ABPHL-48839/2022	EPI_ISL_8846856	2022-01-02	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48839_2022
Canada/AB-ABPHL-48888/2022	EPI_ISL_8846889	2022-01-03	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48888_2022
Canada/AB-ABPHL-48895/2022	EPI_ISL_8846897	2022-01-02	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-48895_2022
Canada/BC-BCCDC-297535/2021	EPI_ISL_8794084	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297535_2021
Canada/BC-BCCDC-297567/2021	EPI_ISL_8794113	2021-12-14	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297567_2021
Canada/BC-BCCDC-297568/2021	EPI_ISL_8794114	2021-12-14	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297568_2021
Canada/BC-BCCDC-297570/2021	EPI_ISL_8794116	2021-12-14	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297570_2021
Canada/BC-BCCDC-297577/2021	EPI_ISL_8794123	2021-12-14	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297577_2021
Canada/BC-BCCDC-297579/2021	EPI_ISL_8794125	2021-12-14	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297579_2021
Canada/BC-BCCDC-297582/2021	EPI_ISL_8794128	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297582_2021
Canada/BC-BCCDC-297603/2021	EPI_ISL_8794148	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297603_2021
Canada/BC-BCCDC-297634/2021	EPI_ISL_8794177	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297634_2021
Canada/BC-BCCDC-297641/2021	EPI_ISL_8794184	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297641_2021
Canada/BC-BCCDC-297642/2021	EPI_ISL_8794185	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297642_2021
Canada/BC-BCCDC-297643/2021	EPI_ISL_8794186	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297643_2021
Canada/BC-BCCDC-297648/2021	EPI_ISL_8794191	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297648_2021
Canada/BC-BCCDC-297664/2021	EPI_ISL_8794206	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297664_2021
Canada/BC-BCCDC-297670/2021	EPI_ISL_8794212	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297670_2021
Canada/BC-BCCDC-297674/2021	EPI_ISL_8794216	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297674_2021
Canada/BC-BCCDC-297692/2021	EPI_ISL_8794234	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297692_2021
Canada/BC-BCCDC-297694/2021	EPI_ISL_8794236	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297694_2021
Canada/BC-BCCDC-297696/2021	EPI_ISL_8794238	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297696_2021
Canada/BC-BCCDC-297700/2021	EPI_ISL_8794241	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297700_2021
Canada/BC-BCCDC-297702/2021	EPI_ISL_8794242	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297702_2021
Canada/BC-BCCDC-297719/2021	EPI_ISL_8794258	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297719_2021
Canada/BC-BCCDC-297721/2021	EPI_ISL_8794260	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297721_2021
Canada/BC-BCCDC-297725/2021	EPI_ISL_8794264	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297725_2021
Canada/BC-BCCDC-297740/2021	EPI_ISL_8794278	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297740_2021
Canada/BC-BCCDC-297743/2021	EPI_ISL_8794281	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297743_2021
Canada/BC-BCCDC-297745/2021	EPI_ISL_8794283	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297745_2021
Canada/BC-BCCDC-297754/2021	EPI_ISL_8794291	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297754_2021
Canada/BC-BCCDC-297769/2021	EPI_ISL_8794305	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297769_2021
Canada/BC-BCCDC-297776/2021	EPI_ISL_8794312	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297776_2021
Canada/BC-BCCDC-297777/2021	EPI_ISL_8794313	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297777_2021
Canada/BC-BCCDC-297798/2021	EPI_ISL_8794332	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297798_2021
Canada/BC-BCCDC-297803/2021	EPI_ISL_8794336	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297803_2021
Canada/BC-BCCDC-297805/2021	EPI_ISL_8794338	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297805_2021
Canada/BC-BCCDC-297817/2021	EPI_ISL_8794348	2021-12-14	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297817_2021
Canada/BC-BCCDC-297821/2021	EPI_ISL_8794352	2021-12-17	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297821_2021
Canada/BC-BCCDC-297824/2021	EPI_ISL_8794355	2021-12-17	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297824_2021
Canada/BC-BCCDC-297839/2021	EPI_ISL_8794369	2021-12-17	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297839_2021
Canada/BC-BCCDC-297844/2021	EPI_ISL_8794374	2021-12-17	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297844_2021
Canada/BC-BCCDC-297956/2021	EPI_ISL_8794475	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297956_2021
Canada/BC-BCCDC-297986/2021	EPI_ISL_8794500	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297986_2021
Canada/BC-BCCDC-297993/2021	EPI_ISL_8794506	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-297993_2021
Canada/BC-BCCDC-298000/2021	EPI_ISL_8794513	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-298000_2021
Canada/BC-BCCDC-298055/2021	EPI_ISL_8794561	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-298055_2021
Canada/BC-BCCDC-298062/2021	EPI_ISL_8794566	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-298062_2021
Canada/BC-BCCDC-298064/2021	EPI_ISL_8794567	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-298064_2021
Canada/BC-BCCDC-298073/2021	EPI_ISL_8794575	2021-12-16	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-298073_2021
Canada/BC-BCCDC-298074/2021	EPI_ISL_8794576	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-298074_2021
Canada/BC-BCCDC-298077/2021	EPI_ISL_8794578	2021-12-15	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-298077_2021
Canada/BC-BCCDC-298091/2021	EPI_ISL_8794592	2021-12-19	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-298091_2021
Canada/BC-BCCDC-298098/2021	EPI_ISL_8794597	2021-12-20	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-298098_2021
Canada/BC-BCCDC-298105/2021	EPI_ISL_8794604	2021-12-20	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-298105_2021
Canada/BC-BCCDC-298110/2021	EPI_ISL_8794608	2021-12-20	British_Columbia	BA.1	Omicron BA.1	British_Columbia	Omicron	Canada_BC-BCCDC-298110_2021
