EPI	Date	GISAID	Location	Variant
EPI_ISL_1055413|Canada|B.1.1	2020-09-28	hCoV-19/Canada/NL-NML-2425/2020	Canada	B.1.1
EPI_ISL_1055416|Canada|B.1.265	2020-10-23	hCoV-19/Canada/NL-NML-3095/2020	Canada	B.1.265
EPI_ISL_1055418|Canada|B.1.279	2020-10-23	hCoV-19/Canada/NL-NML-3097/2020	Canada	B.1.279
EPI_ISL_1055419|Canada|B.1.258	2020-11-06	hCoV-19/Canada/NL-NML-3098/2020	Canada	B.1.258
EPI_ISL_1055420|Canada|B.1.2	2020-11-13	hCoV-19/Canada/NL-NML-3099/2020	Canada	B.1.2
EPI_ISL_1055421|Canada|B.1.438.1	2020-11-17	hCoV-19/Canada/NL-NML-3102/2020	Canada	B.1.438.1
EPI_ISL_1055425|Canada|B.1.36.36	2020-11-21	hCoV-19/Canada/NL-NML-3110/2020	Canada	B.1.36.36
EPI_ISL_1055427|Canada|B.1.1.157	2020-11-23	hCoV-19/Canada/NL-NML-3113/2020	Canada	B.1.1.157
EPI_ISL_1055428|Canada|B.1.438.1	2020-12-18	hCoV-19/Canada/NL-NML-3120/2020	Canada	B.1.438.1
EPI_ISL_1055433|Canada|B.1.1.397	2020-12-18	hCoV-19/Canada/NL-NML-3125/2020	Canada	B.1.1.397
EPI_ISL_1055436|Canada|B.1.1.153	2020-12-14	hCoV-19/Canada/NL-NML-3131/2020	Canada	B.1.1.153
EPI_ISL_1055437|Canada|B.1.36	2020-12-14	hCoV-19/Canada/NL-NML-5787/2020	Canada	B.1.36
EPI_ISL_1055438|Canada|B.1	2020-12-15	hCoV-19/Canada/NL-NML-5788/2020	Canada	B.1
EPI_ISL_1055440|Canada|B.1.243	2020-12-16	hCoV-19/Canada/NL-NML-5790/2020	Canada	B.1.243
EPI_ISL_1055441|Canada|B.1.160	2020-12-17	hCoV-19/Canada/NL-NML-5791/2020	Canada	B.1.160
EPI_ISL_1055442|Canada|B.1.2	2020-12-17	hCoV-19/Canada/NL-NML-5792/2020	Canada	B.1.2
EPI_ISL_1055449|Canada|B.1.565	2020-12-12	hCoV-19/Canada/NL-NML-5800/2020	Canada	B.1.565
EPI_ISL_1055450|Canada|B.1.438.1	2021-01-03	hCoV-19/Canada/NL-NML-5801/2021	Canada	B.1.438.1
EPI_ISL_1055451|Canada|B.1.36	2021-01-26	hCoV-19/Canada/NL-NML-8802/2021	Canada	B.1.36
EPI_ISL_1055460|Canada|B.1.2	2021-01-08	hCoV-19/Canada/NS-NML-5134/2021	Canada	B.1.2
EPI_ISL_1055461|Canada|B.1.36.31	2021-01-07	hCoV-19/Canada/NS-NML-5137/2021	Canada	B.1.36.31
EPI_ISL_1055467|Canada|B.1	2021-01-04	hCoV-19/Canada/NS-NML-5148/2021	Canada	B.1
EPI_ISL_1055472|Canada|B.1.1.487	2021-01-03	hCoV-19/Canada/NS-NML-5154/2021	Canada	B.1.1.487
EPI_ISL_1055475|Canada|A.23.1	2020-12-31	hCoV-19/Canada/NS-NML-5160/2020	Canada	A.23.1
EPI_ISL_1055479|Canada|B.1.1.28	2020-12-30	hCoV-19/Canada/NS-NML-5170/2020	Canada	B.1.1.28
EPI_ISL_1055498|Canada|B.1.1.519	2020-12-19	hCoV-19/Canada/NS-NML-5202/2020	Canada	B.1.1.519
EPI_ISL_1055499|Canada|B.1.298	2020-12-19	hCoV-19/Canada/NS-NML-5203/2020	Canada	B.1.298
EPI_ISL_1055502|Canada|B.1.565	2020-12-18	hCoV-19/Canada/NS-NML-5207/2020	Canada	B.1.565
EPI_ISL_1055504|Canada|B.1.160	2020-12-16	hCoV-19/Canada/NS-NML-5211/2020	Canada	B.1.160
EPI_ISL_1055505|Canada|C.36.1	2020-12-16	hCoV-19/Canada/NS-NML-5212/2020	Canada	C.36.1
EPI_ISL_1055510|Canada|C.16	2020-12-14	hCoV-19/Canada/NS-NML-5218/2020	Canada	C.16
EPI_ISL_1055511|Canada|B.1.517	2020-12-14	hCoV-19/Canada/NS-NML-5219/2020	Canada	B.1.517
EPI_ISL_1055518|Canada|B.1.471	2020-12-12	hCoV-19/Canada/NS-NML-5227/2020	Canada	B.1.471
EPI_ISL_1055526|Canada|B.1.36.26	2020-12-10	hCoV-19/Canada/NS-NML-5235/2020	Canada	B.1.36.26
EPI_ISL_1055528|Canada|B.1.2	2020-12-27	hCoV-19/Canada/NS-NML-5238/2020	Canada	B.1.2
EPI_ISL_1055533|Canada|B.1.438.1	2020-12-09	hCoV-19/Canada/NS-NML-5244/2020	Canada	B.1.438.1
EPI_ISL_1055539|Canada|B.1.36.38	2020-12-07	hCoV-19/Canada/NS-NML-5254/2020	Canada	B.1.36.38
EPI_ISL_1055552|Canada|B.1.1.157	2020-11-26	hCoV-19/Canada/NS-NML-5352/2020	Canada	B.1.1.157
EPI_ISL_1055612|Canada|B.1	2020-11-21	hCoV-19/Canada/NS-NML-5429/2020	Canada	B.1
EPI_ISL_1055623|Canada|B.1.36.8	2020-11-20	hCoV-19/Canada/NS-NML-5442/2020	Canada	B.1.36.8
EPI_ISL_1055649|Canada|B.1.1.317	2020-11-09	hCoV-19/Canada/NS-NML-5472/2020	Canada	B.1.1.317
EPI_ISL_1055658|Canada|B.1.36	2020-10-31	hCoV-19/Canada/NS-NML-5482/2020	Canada	B.1.36
EPI_ISL_1055660|Canada|B.1.369	2020-10-30	hCoV-19/Canada/NS-NML-5484/2020	Canada	B.1.369
EPI_ISL_1055662|Canada|B.1.2	2020-10-29	hCoV-19/Canada/NS-NML-5486/2020	Canada	B.1.2
EPI_ISL_1055664|Canada|B.1.1.434	2020-10-28	hCoV-19/Canada/NS-NML-5490/2020	Canada	B.1.1.434
EPI_ISL_1055665|Canada|B.1.1.71	2020-10-25	hCoV-19/Canada/NS-NML-5491/2020	Canada	B.1.1.71
EPI_ISL_1055667|Canada|B.1.509	2020-10-22	hCoV-19/Canada/NS-NML-5493/2020	Canada	B.1.509
EPI_ISL_1055669|Canada|B.1.243	2020-10-17	hCoV-19/Canada/NS-NML-5495/2020	Canada	B.1.243
EPI_ISL_1055670|Canada|B.1.527	2020-10-16	hCoV-19/Canada/NS-NML-5496/2020	Canada	B.1.527
EPI_ISL_1055673|Canada|B.1.1.159	2020-10-09	hCoV-19/Canada/NS-NML-5500/2020	Canada	B.1.1.159
EPI_ISL_1055675|Canada|B.1	2020-09-30	hCoV-19/Canada/NS-NML-5503/2020	Canada	B.1
EPI_ISL_1055676|Canada|B.1.243	2020-09-28	hCoV-19/Canada/NS-NML-5504/2020	Canada	B.1.243
EPI_ISL_1055677|Canada|B.1.1	2020-08-26	hCoV-19/Canada/NS-NML-5508/2020	Canada	B.1.1
EPI_ISL_1055686|Canada|B.1.1.291	2020-08-13	hCoV-19/Canada/NS-NML-5520/2020	Canada	B.1.1.291
EPI_ISL_1055688|Canada|B.1.210	2020-07-31	hCoV-19/Canada/NS-NML-5524/2020	Canada	B.1.210
EPI_ISL_1055689|Canada|B.1.36.22	2020-07-29	hCoV-19/Canada/NS-NML-5526/2020	Canada	B.1.36.22
EPI_ISL_1055690|Canada|B.1.582	2020-07-04	hCoV-19/Canada/NS-NML-5529/2020	Canada	B.1.582
EPI_ISL_1055691|Canada|B.1	2020-06-29	hCoV-19/Canada/NS-NML-5530/2020	Canada	B.1
EPI_ISL_1055692|Canada|B.1.1.225	2020-06-29	hCoV-19/Canada/NS-NML-5531/2020	Canada	B.1.1.225
EPI_ISL_1055696|Canada|B.1.1.157	2020-12-06	hCoV-19/Canada/NS-NML-5537/2020	Canada	B.1.1.157
EPI_ISL_1055697|Canada|C.34	2020-12-06	hCoV-19/Canada/NS-NML-5538/2020	Canada	C.34
EPI_ISL_1055718|Canada|AE.8	2020-08-28	hCoV-19/Canada/NS-NML-5563/2020	Canada	AE.8
EPI_ISL_1055724|Canada|AM.4	2021-01-10	hCoV-19/Canada/NS-NML-16201/2021	Canada	AM.4
EPI_ISL_1055728|Canada|B.1.1.222	2021-01-11	hCoV-19/Canada/NS-NML-16207/2021	Canada	B.1.1.222
EPI_ISL_1055730|Canada|A.23.1	2021-01-11	hCoV-19/Canada/NS-NML-16211/2021	Canada	A.23.1
EPI_ISL_1055734|Canada|B.1.177.86	2021-01-13	hCoV-19/Canada/NS-NML-16215/2021	Canada	B.1.177.86
EPI_ISL_1055736|Canada|B.1.36.18	2021-01-14	hCoV-19/Canada/NS-NML-16217/2021	Canada	B.1.36.18
EPI_ISL_1055737|Canada|B.1.1	2021-01-15	hCoV-19/Canada/NS-NML-16218/2021	Canada	B.1.1
EPI_ISL_1055738|Canada|B.1.36	2021-01-14	hCoV-19/Canada/NS-NML-16219/2021	Canada	B.1.36
EPI_ISL_1055742|Canada|A.2.5	2021-01-16	hCoV-19/Canada/NS-NML-16224/2021	Canada	A.2.5
EPI_ISL_1055745|Canada|B.1.240	2021-01-18	hCoV-19/Canada/NS-NML-16228/2021	Canada	B.1.240
EPI_ISL_1055746|Canada|B.1.438.1	2021-01-19	hCoV-19/Canada/NS-NML-16230/2021	Canada	B.1.438.1
EPI_ISL_1055750|Canada|B.1.1.7	2021-01-24	hCoV-19/Canada/NS-NML-16239/2021	Canada	B.1.1.7
EPI_ISL_1055751|Canada|AL.1	2021-01-27	hCoV-19/Canada/NS-NML-16240/2021	Canada	AL.1
EPI_ISL_1055752|Canada|B.1.1.432	2021-01-28	hCoV-19/Canada/NS-NML-16241/2021	Canada	B.1.1.432
EPI_ISL_1112886|Canada|B.1.311	2021-01-11	hCoV-19/Canada/ON-PHL-21-01584/2021	Canada	B.1.311
EPI_ISL_1164956|Canada|P.2	2021-01-28	hCoV-19/Canada/NB-NML-16161/2021	Canada	P.2
EPI_ISL_1164957|Canada|B.1.240	2021-01-26	hCoV-19/Canada/NB-NML-16166/2021	Canada	B.1.240
EPI_ISL_1182866|Canada|B.1.1.181	2020-07-12	hCoV-19/Canada/ON-PHL-20-01589/2020	Canada	B.1.1.181
EPI_ISL_1182870|Canada|B.1.1.28	2020-12-30	hCoV-19/Canada/ON-PHL-21-00397/2020	Canada	B.1.1.28
EPI_ISL_1182875|Canada|C.16	2021-01-20	hCoV-19/Canada/ON-PHL-21-01885/2021	Canada	C.16
EPI_ISL_1182884|Canada|B.1.564.1	2021-01-21	hCoV-19/Canada/ON-PHL-21-02123/2021	Canada	B.1.564.1
EPI_ISL_1182906|Canada|B.1.1.417	2020-08-13	hCoV-19/Canada/ON-PHL-20-01846/2020	Canada	B.1.1.417
EPI_ISL_1182932|Canada|B.1.1.434	2021-01-22	hCoV-19/Canada/ON-PHL-21-02134/2021	Canada	B.1.1.434
EPI_ISL_1182933|Canada|B.1.411	2021-01-26	hCoV-19/Canada/ON-PHL-21-02150/2021	Canada	B.1.411
EPI_ISL_1183054|Canada|B.1.1.7	2021-01-21	hCoV-19/Canada/ON-PHL-21-00870/2021	Canada	B.1.1.7
EPI_ISL_1183105|Canada|B.1.422	2020-05-14	hCoV-19/Canada/ON-PHL-20-00283/2020	Canada	B.1.422
EPI_ISL_1183120|Canada|B.1.36.29	2020-12-13	hCoV-19/Canada/ON-PHL-21-00417/2020	Canada	B.1.36.29
EPI_ISL_1183148|Canada|B.1.128	2020-08-18	hCoV-19/Canada/ON-PHL-20-01861/2020	Canada	B.1.128
EPI_ISL_1183157|Canada|B.1.451	2020-07-18	hCoV-19/Canada/ON-PHL-20-01631/2020	Canada	B.1.451
EPI_ISL_1183161|Canada|B.1.1.329	2020-12-14	hCoV-19/Canada/ON-PHL-21-00394/2020	Canada	B.1.1.329
EPI_ISL_1183166|Canada|B.1.1.157	2020-12-22	hCoV-19/Canada/ON-PHL-21-00410/2020	Canada	B.1.1.157
EPI_ISL_1183204|Canada|B.39	2020-05-01	hCoV-19/Canada/ON-PHL-20-01750/2020	Canada	B.39
EPI_ISL_1183273|Canada|B.1.1.33	2020-05-09	hCoV-19/Canada/ON-PHL-20-00258/2020	Canada	B.1.1.33
EPI_ISL_1183329|Canada|B.1.13	2020-05-22	hCoV-19/Canada/ON-PHL-20-01469/2020	Canada	B.1.13
EPI_ISL_1183353|Canada|B.1.147	2020-05-31	hCoV-19/Canada/ON-PHL-20-01108/2020	Canada	B.1.147
EPI_ISL_1183362|Canada|B.1.270	2020-05-31	hCoV-19/Canada/ON-PHL-20-01143/2020	Canada	B.1.270
EPI_ISL_1183412|Canada|B.1.270	2020-07-12	hCoV-19/Canada/ON-PHL-20-01596/2020	Canada	B.1.270
EPI_ISL_1183416|Canada|B.1.1.164	2020-07-14	hCoV-19/Canada/ON-PHL-20-01607/2020	Canada	B.1.1.164
EPI_ISL_1183424|Canada|B.1	2020-07-15	hCoV-19/Canada/ON-PHL-20-01662/2020	Canada	B.1
EPI_ISL_1183435|Canada|B.1.1.33	2020-07-17	hCoV-19/Canada/ON-PHL-20-01618/2020	Canada	B.1.1.33
EPI_ISL_1183445|Canada|B.1.609	2020-08-02	hCoV-19/Canada/ON-PHL-20-01825/2020	Canada	B.1.609
EPI_ISL_1183450|Canada|B.1.1.121	2020-08-07	hCoV-19/Canada/ON-PHL-20-01835/2020	Canada	B.1.1.121
EPI_ISL_1183451|Canada|B.1.599	2020-08-07	hCoV-19/Canada/ON-PHL-20-01836/2020	Canada	B.1.599
EPI_ISL_1183457|Canada|B.1.111	2020-08-17	hCoV-19/Canada/ON-PHL-20-01844/2020	Canada	B.1.111
EPI_ISL_1183462|Canada|B.1.2	2020-08-18	hCoV-19/Canada/ON-PHL-20-01852/2020	Canada	B.1.2
EPI_ISL_1183476|Canada|B.1.577	2020-12-31	hCoV-19/Canada/ON-PHL-21-00407/2020	Canada	B.1.577
EPI_ISL_1183493|Canada|B.1.1.121	2020-05-11	hCoV-19/Canada/ON-PHL-20-00292/2020	Canada	B.1.1.121
EPI_ISL_1183506|Canada|B.1.564.1	2020-08-12	hCoV-19/Canada/ON-PHL-20-01859/2020	Canada	B.1.564.1
EPI_ISL_1183507|Canada|B.1.1	2020-08-17	hCoV-19/Canada/ON-PHL-20-01860/2020	Canada	B.1.1
EPI_ISL_1183508|Canada|B.1.1.291	2020-08-19	hCoV-19/Canada/ON-PHL-20-01862/2020	Canada	B.1.1.291
EPI_ISL_1183521|Canada|B.1.1.316	2020-12-19	hCoV-19/Canada/ON-PHL-21-00425/2020	Canada	B.1.1.316
EPI_ISL_1183524|Canada|B.1.422	2020-04-30	hCoV-19/Canada/ON-PHL-20-01677/2020	Canada	B.1.422
EPI_ISL_1183530|Canada|B.1	2020-05-07	hCoV-19/Canada/ON-PHL-20-00225/2020	Canada	B.1
EPI_ISL_1183547|Canada|B.1.311	2020-12-29	hCoV-19/Canada/ON-PHL-21-01740/2020	Canada	B.1.311
EPI_ISL_1183562|Canada|B.1.1.487	2021-01-26	hCoV-19/Canada/ON-PHL-21-02157/2021	Canada	B.1.1.487
EPI_ISL_1183566|Canada|B.1.1.417	2021-01-21	hCoV-19/Canada/ON-PHL-21-01870/2021	Canada	B.1.1.417
EPI_ISL_1229967|Canada|B.1.596	2021-01-22	hCoV-19/Canada/ON-PHL-21-01351/2021	Canada	B.1.596
EPI_ISL_1230026|Canada|B.1.36.26	2021-02-02	hCoV-19/Canada/ON-PHL-21-03214/2021	Canada	B.1.36.26
EPI_ISL_1230061|Canada|P.1.14	2021-01-14	hCoV-19/Canada/ON-PHL-21-03397/2021	Canada	P.1.14
EPI_ISL_1230069|Canada|B.1.1.25	2020-06-01	hCoV-19/Canada/ON-PHL-20-00839/2020	Canada	B.1.1.25
EPI_ISL_1230453|Canada|B.1.525	2021-01-23	hCoV-19/Canada/ON-PHL-21-01313/2021	Canada	B.1.525
EPI_ISL_1230473|Canada|B.1.1.33	2020-06-05	hCoV-19/Canada/ON-PHL-20-00673/2020	Canada	B.1.1.33
EPI_ISL_1230475|Canada|B.1.351.2	2021-02-09	hCoV-19/Canada/ON-PHL-21-03608/2021	Canada	B.1.351.2
EPI_ISL_1230479|Canada|B.1.526	2021-01-23	hCoV-19/Canada/ON-PHL-21-01294/2021	Canada	B.1.526
EPI_ISL_1230484|Canada|B.39	2020-04-14	hCoV-19/Canada/ON-PHL-20-00899/2020	Canada	B.39
EPI_ISL_1230521|Canada|B.1.1	2020-06-07	hCoV-19/Canada/ON-PHL-20-00991/2020	Canada	B.1.1
EPI_ISL_1230526|Canada|B.1.1.417	2020-06-10	hCoV-19/Canada/ON-PHL-20-00961/2020	Canada	B.1.1.417
EPI_ISL_1230527|Canada|B.1.1.121	2020-06-10	hCoV-19/Canada/ON-PHL-20-00947/2020	Canada	B.1.1.121
EPI_ISL_1230534|Canada|B.1.1.1	2020-06-12	hCoV-19/Canada/ON-PHL-20-00964/2020	Canada	B.1.1.1
EPI_ISL_1230556|Canada|B.1.103	2020-06-18	hCoV-19/Canada/ON-PHL-20-01041/2020	Canada	B.1.103
EPI_ISL_1230574|Canada|B.1.1.222	2020-06-20	hCoV-19/Canada/ON-PHL-20-01034/2020	Canada	B.1.1.222
EPI_ISL_1230584|Canada|B.1.1.232	2020-06-20	hCoV-19/Canada/ON-PHL-20-01059/2020	Canada	B.1.1.232
EPI_ISL_1230647|Canada|B.1.1.157	2021-01-26	hCoV-19/Canada/ON-PHL-21-02777/2021	Canada	B.1.1.157
EPI_ISL_1230678|Canada|B.1.1.312	2021-01-22	hCoV-19/Canada/ON-PHL-21-02914/2021	Canada	B.1.1.312
EPI_ISL_1230730|Canada|B.1.1.216	2021-01-23	hCoV-19/Canada/ON-PHL-21-01304/2021	Canada	B.1.1.216
EPI_ISL_1230752|Canada|B.1.36	2021-01-23	hCoV-19/Canada/ON-PHL-21-01269/2021	Canada	B.1.36
EPI_ISL_1230756|Canada|B.1.429	2021-01-23	hCoV-19/Canada/ON-PHL-21-01272/2021	Canada	B.1.429
EPI_ISL_1230776|Canada|B.1.438.1	2021-01-27	hCoV-19/Canada/ON-PHL-21-02789/2021	Canada	B.1.438.1
EPI_ISL_1230800|Canada|C.36.1	2021-02-02	hCoV-19/Canada/ON-PHL-21-03236/2021	Canada	C.36.1
EPI_ISL_1230807|Canada|B.1.438.1	2021-02-02	hCoV-19/Canada/ON-PHL-21-03174/2021	Canada	B.1.438.1
EPI_ISL_1230810|Canada|B.1.234	2021-02-02	hCoV-19/Canada/ON-PHL-21-03180/2021	Canada	B.1.234
EPI_ISL_1230813|Canada|B.1.36.31	2021-02-02	hCoV-19/Canada/ON-PHL-21-03189/2021	Canada	B.1.36.31
EPI_ISL_1230833|Canada|B.1.234	2021-01-21	hCoV-19/Canada/ON-PHL-21-02911/2021	Canada	B.1.234
EPI_ISL_1230834|Canada|B.1.36.22	2021-01-23	hCoV-19/Canada/ON-PHL-21-02800/2021	Canada	B.1.36.22
EPI_ISL_1230867|Canada|B.1.1.348	2021-01-22	hCoV-19/Canada/ON-PHL-21-01425/2021	Canada	B.1.1.348
EPI_ISL_1230878|Canada|B.1.354	2020-06-12	hCoV-19/Canada/ON-PHL-20-00950/2020	Canada	B.1.354
EPI_ISL_1230952|Canada|B.1.609	2020-05-17	hCoV-19/Canada/ON-PHL-20-00451/2020	Canada	B.1.609
EPI_ISL_1230970|Canada|B.1.1.181	2020-05-24	hCoV-19/Canada/ON-PHL-20-00609/2020	Canada	B.1.1.181
EPI_ISL_1230982|Canada|B.1.1.485	2020-05-26	hCoV-19/Canada/ON-PHL-20-00612/2020	Canada	B.1.1.485
EPI_ISL_1230985|Canada|B.1.167	2020-05-26	hCoV-19/Canada/ON-PHL-20-00555/2020	Canada	B.1.167
EPI_ISL_1231001|Canada|B.1.1.304	2020-05-27	hCoV-19/Canada/ON-PHL-20-00611/2020	Canada	B.1.1.304
EPI_ISL_1231025|Canada|B.1.1.417	2020-05-30	hCoV-19/Canada/ON-PHL-20-00624/2020	Canada	B.1.1.417
EPI_ISL_1231030|Canada|B.1.36.34	2020-05-30	hCoV-19/Canada/ON-PHL-20-00608/2020	Canada	B.1.36.34
EPI_ISL_1231048|Canada|B.1.1.181	2020-06-01	hCoV-19/Canada/ON-PHL-20-00735/2020	Canada	B.1.1.181
EPI_ISL_1231108|Canada|B.1.422	2020-06-05	hCoV-19/Canada/ON-PHL-20-00672/2020	Canada	B.1.422
EPI_ISL_1231113|Canada|B.1.1	2020-05-15	hCoV-19/Canada/ON-PHL-20-00383/2020	Canada	B.1.1
EPI_ISL_1231151|Canada|B.1.350	2020-04-11	hCoV-19/Canada/ON-PHL-20-00406/2020	Canada	B.1.350
EPI_ISL_1231153|Canada|B.1.1.1	2020-05-13	hCoV-19/Canada/ON-PHL-20-00355/2020	Canada	B.1.1.1
EPI_ISL_1231166|Canada|B.1.1.222	2020-05-28	hCoV-19/Canada/ON-PHL-20-00802/2020	Canada	B.1.1.222
EPI_ISL_1231184|Canada|B.1.162	2020-03-30	hCoV-19/Canada/ON-PHL-20-00387/2020	Canada	B.1.162
EPI_ISL_1231185|Canada|B.1.323	2020-05-19	hCoV-19/Canada/ON-PHL-20-00467/2020	Canada	B.1.323
EPI_ISL_1231188|Canada|B.1.1.28	2020-03-31	hCoV-19/Canada/ON-PHL-20-00413/2020	Canada	B.1.1.28
EPI_ISL_1231189|Canada|B.1.439	2020-04-02	hCoV-19/Canada/ON-PHL-20-00394/2020	Canada	B.1.439
EPI_ISL_1241016|Canada|B.1.350	2020-06-01	hCoV-19/Canada/QC-HGA-T40117862D/2020	Canada	B.1.350
EPI_ISL_1241018|Canada|B.40	2020-04-06	hCoV-19/Canada/QC-HMR-96061818/2020	Canada	B.40
EPI_ISL_1241051|Canada|B.1.1.176	2020-05-01	hCoV-19/Canada/QC-JEW-Q9011675/2020	Canada	B.1.1.176
EPI_ISL_1241054|Canada|B.1	2020-05-01	hCoV-19/Canada/QC-JEW-Q9012427/2020	Canada	B.1
EPI_ISL_1241064|Canada|B.1.199	2020-05-05	hCoV-19/Canada/QC-JEW-Q9052296/2020	Canada	B.1.199
EPI_ISL_1241109|Canada|B.4	2020-03-23	hCoV-19/Canada/QC-JUS-V5220285/2020	Canada	B.4
EPI_ISL_1241125|Canada|B.1.8	2020-03-24	hCoV-19/Canada/QC-JUS-V5252154/2020	Canada	B.1.8
EPI_ISL_1241202|Canada|B.39	2020-04-01	hCoV-19/Canada/QC-JUS-V6011767/2020	Canada	B.39
EPI_ISL_1241250|Canada|B	2020-04-10	hCoV-19/Canada/QC-JUS-V6110633/2020	Canada	B
EPI_ISL_1241316|Canada|A	2020-04-02	hCoV-19/Canada/QC-L00245202/2020	Canada	A
EPI_ISL_1241329|Canada|B.1.356	2020-04-02	hCoV-19/Canada/QC-L00245452/2020	Canada	B.1.356
EPI_ISL_1241370|Canada|B.1.590	2020-04-05	hCoV-19/Canada/QC-L00246197/2020	Canada	B.1.590
EPI_ISL_1241377|Canada|A.1	2020-04-04	hCoV-19/Canada/QC-L00246309/2020	Canada	A.1
EPI_ISL_1241417|Canada|B.1.1	2020-04-08	hCoV-19/Canada/QC-L00247359/2020	Canada	B.1.1
EPI_ISL_1241419|Canada|B.1.415	2020-04-07	hCoV-19/Canada/QC-L00247399/2020	Canada	B.1.415
EPI_ISL_1241469|Canada|B.1.9.5	2020-04-11	hCoV-19/Canada/QC-L00248343/2020	Canada	B.1.9.5
EPI_ISL_1241531|Canada|B.1.128	2020-04-17	hCoV-19/Canada/QC-L00250637/2020	Canada	B.1.128
EPI_ISL_1241665|Canada|A	2020-05-04	hCoV-19/Canada/QC-L00256672/2020	Canada	A
EPI_ISL_1257901|Canada|B.1.36.10	2021-02-02	hCoV-19/Canada/MB-NML-16776/2021	Canada	B.1.36.10
EPI_ISL_1257913|Canada|B.1.36	2020-08-09	hCoV-19/Canada/MB-NML-1066/2020	Canada	B.1.36
EPI_ISL_1257918|Canada|B.1.36.8	2020-10-21	hCoV-19/Canada/MB-NML-2621/2020	Canada	B.1.36.8
EPI_ISL_1257936|Canada|B.1.349	2021-01-02	hCoV-19/Canada/MB-NML-16750/2021	Canada	B.1.349
EPI_ISL_1257943|Canada|C.8	2020-11-06	hCoV-19/Canada/MB-NML-2693/2020	Canada	C.8
EPI_ISL_1257967|Canada|B.1.36	2021-01-23	hCoV-19/Canada/MB-NML-16709/2021	Canada	B.1.36
EPI_ISL_1257980|Canada|B.1.422	2020-04-08	hCoV-19/Canada/MB-NML-138/2020	Canada	B.1.422
EPI_ISL_1257987|Canada|B.1.350	2020-03-23	hCoV-19/Canada/MB-NML-772/2020	Canada	B.1.350
EPI_ISL_1257994|Canada|B.1.270	2020-06-23	hCoV-19/Canada/MB-NML-800/2020	Canada	B.1.270
EPI_ISL_1257996|Canada|A.1	2020-04-14	hCoV-19/Canada/MB-NML-813/2020	Canada	A.1
EPI_ISL_1257998|Canada|C.8	2020-07-08	hCoV-19/Canada/MB-NML-816/2020	Canada	C.8
EPI_ISL_1258005|Canada|B.1.36.18	2020-10-21	hCoV-19/Canada/MB-NML-2540/2020	Canada	B.1.36.18
EPI_ISL_1258010|Canada|AE.8	2020-10-27	hCoV-19/Canada/MB-NML-2545/2020	Canada	AE.8
EPI_ISL_1258024|Canada|C.8	2020-10-30	hCoV-19/Canada/MB-NML-2560/2020	Canada	C.8
EPI_ISL_1258065|Canada|B.1.1.306	2020-10-19	hCoV-19/Canada/MB-NML-2609/2020	Canada	B.1.1.306
EPI_ISL_1258095|Canada|B.1.36.8	2020-11-04	hCoV-19/Canada/MB-NML-2642/2020	Canada	B.1.36.8
EPI_ISL_1258159|Canada|B.1.1.306	2020-11-12	hCoV-19/Canada/MB-NML-2715/2020	Canada	B.1.1.306
