EPI	Date	GISAID	Location	lineage
EPI_ISL_10208195|Canada|BA.1.1	2022-01-31	hCoV-19/Canada/ON-PHL-22-07715/2022	Canada	BA.1.1
EPI_ISL_10208201|Canada|BA.1.1	2022-02-01	hCoV-19/Canada/ON-PHL-22-07721/2022	Canada	BA.1.1
EPI_ISL_10208232|Canada|BA.2	2022-01-25	hCoV-19/Canada/ON-PHL-22-07755/2022	Canada	BA.2
EPI_ISL_10208240|Canada|BA.2	2022-01-22	hCoV-19/Canada/ON-PHL-22-07764/2022	Canada	BA.2
EPI_ISL_10208245|Canada|BA.2	2022-01-19	hCoV-19/Canada/ON-PHL-22-07769/2022	Canada	BA.2
EPI_ISL_10208285|Canada|BA.2	2022-02-02	hCoV-19/Canada/ON-PHL-22-08150/2022	Canada	BA.2
EPI_ISL_10208314|Canada|BA.1	2022-02-05	hCoV-19/Canada/ON-PHL-22-08180/2022	Canada	BA.1
EPI_ISL_10208320|Canada|BA.1	2022-02-06	hCoV-19/Canada/ON-PHL-22-08188/2022	Canada	BA.1
EPI_ISL_10208363|Canada|AY.74	2022-01-12	hCoV-19/Canada/ON-PHL-22-08233/2022	Canada	AY.74
EPI_ISL_10208366|Canada|BA.1.1	2022-02-07	hCoV-19/Canada/ON-PHL-22-08237/2022	Canada	BA.1.1
EPI_ISL_10208377|Canada|BA.2	2022-02-05	hCoV-19/Canada/ON-PHL-22-08249/2022	Canada	BA.2
EPI_ISL_10208378|Canada|BA.2	2022-02-05	hCoV-19/Canada/ON-PHL-22-08250/2022	Canada	BA.2
EPI_ISL_10208418|Canada|BA.1.1	2022-02-07	hCoV-19/Canada/ON-PHL-22-08292/2022	Canada	BA.1.1
EPI_ISL_10208476|Canada|BA.2	2022-02-07	hCoV-19/Canada/ON-PHL-22-08353/2022	Canada	BA.2
EPI_ISL_10208484|Canada|BA.2	2022-02-06	hCoV-19/Canada/ON-PHL-22-08362/2022	Canada	BA.2
EPI_ISL_10208489|Canada|BA.1.1	2022-02-06	hCoV-19/Canada/ON-PHL-22-08367/2022	Canada	BA.1.1
EPI_ISL_10208490|Canada|BA.2	2022-02-07	hCoV-19/Canada/ON-PHL-22-08368/2022	Canada	BA.2
EPI_ISL_10208491|Canada|BA.2	2022-02-07	hCoV-19/Canada/ON-PHL-22-08369/2022	Canada	BA.2
EPI_ISL_10208495|Canada|BA.1.1	2022-02-06	hCoV-19/Canada/ON-PHL-22-08373/2022	Canada	BA.1.1
EPI_ISL_10208496|Canada|BA.1	2022-02-06	hCoV-19/Canada/ON-PHL-22-08374/2022	Canada	BA.1
EPI_ISL_10208499|Canada|BA.2	2022-02-06	hCoV-19/Canada/ON-PHL-22-08377/2022	Canada	BA.2
EPI_ISL_10208512|Canada|BA.1.1	2022-02-10	hCoV-19/Canada/ON-PHL-22-08390/2022	Canada	BA.1.1
EPI_ISL_10208513|Canada|BA.1	2022-02-09	hCoV-19/Canada/ON-PHL-22-08391/2022	Canada	BA.1
EPI_ISL_10208520|Canada|BA.1	2022-02-08	hCoV-19/Canada/ON-PHL-22-08398/2022	Canada	BA.1
EPI_ISL_10208546|Canada|BA.1.1	2022-02-09	hCoV-19/Canada/ON-PHL-22-08426/2022	Canada	BA.1.1
EPI_ISL_10208563|Canada|BA.1	2022-02-01	hCoV-19/Canada/ON-PHL-22-08443/2022	Canada	BA.1
EPI_ISL_10208571|Canada|BA.1.1	2022-02-04	hCoV-19/Canada/ON-PHL-22-08451/2022	Canada	BA.1.1
EPI_ISL_10208572|Canada|BA.1	2022-02-02	hCoV-19/Canada/ON-PHL-22-08452/2022	Canada	BA.1
EPI_ISL_10208594|Canada|BA.1	2022-02-10	hCoV-19/Canada/ON-PHL-22-08474/2022	Canada	BA.1
EPI_ISL_10208608|Canada|BA.1.1	2022-02-11	hCoV-19/Canada/ON-PHL-22-08488/2022	Canada	BA.1.1
EPI_ISL_10208609|Canada|BA.2	2022-02-11	hCoV-19/Canada/ON-PHL-22-08489/2022	Canada	BA.2
EPI_ISL_10208630|Canada|BA.1.1	2022-02-08	hCoV-19/Canada/ON-PHL-22-08510/2022	Canada	BA.1.1
EPI_ISL_10208651|Canada|AY.25.3	2022-02-09	hCoV-19/Canada/ON-PHL-22-08530/2022	Canada	AY.25.3
EPI_ISL_10208658|Canada|BA.2	2022-02-09	hCoV-19/Canada/ON-PHL-22-08537/2022	Canada	BA.2
EPI_ISL_10208663|Canada|BA.1.1	2022-02-10	hCoV-19/Canada/ON-PHL-22-08542/2022	Canada	BA.1.1
EPI_ISL_10208666|Canada|BA.1.1	2022-02-09	hCoV-19/Canada/ON-PHL-22-08546/2022	Canada	BA.1.1
EPI_ISL_10208679|Canada|BA.2	2022-02-04	hCoV-19/Canada/ON-PHL-22-08559/2022	Canada	BA.2
EPI_ISL_10208680|Canada|BA.2	2022-02-09	hCoV-19/Canada/ON-PHL-22-08560/2022	Canada	BA.2
EPI_ISL_10208689|Canada|BA.2	2022-02-08	hCoV-19/Canada/ON-PHL-22-08569/2022	Canada	BA.2
EPI_ISL_10208693|Canada|BA.1.1	2022-02-07	hCoV-19/Canada/ON-PHL-22-08573/2022	Canada	BA.1.1
EPI_ISL_10208697|Canada|BA.1	2022-02-08	hCoV-19/Canada/ON-PHL-22-08577/2022	Canada	BA.1
EPI_ISL_10208715|Canada|BA.1.1	2022-02-09	hCoV-19/Canada/ON-PHL-22-08599/2022	Canada	BA.1.1
EPI_ISL_10208721|Canada|BA.2	2022-02-08	hCoV-19/Canada/ON-PHL-22-08606/2022	Canada	BA.2
EPI_ISL_10208723|Canada|BA.2	2022-02-08	hCoV-19/Canada/ON-PHL-22-08608/2022	Canada	BA.2
EPI_ISL_10208750|Canada|BA.1.1	2022-02-08	hCoV-19/Canada/ON-PHL-22-08638/2022	Canada	BA.1.1
EPI_ISL_10208756|Canada|BA.1	2022-02-09	hCoV-19/Canada/ON-PHL-22-08643/2022	Canada	BA.1
EPI_ISL_10208775|Canada|BA.1	2022-02-11	hCoV-19/Canada/ON-PHL-22-08664/2022	Canada	BA.1
EPI_ISL_10208781|Canada|BA.1	2022-02-09	hCoV-19/Canada/ON-PHL-22-08670/2022	Canada	BA.1
EPI_ISL_10208796|Canada|BA.2	2022-02-06	hCoV-19/Canada/ON-PHL-22-08685/2022	Canada	BA.2
EPI_ISL_10208802|Canada|BA.1	2022-02-11	hCoV-19/Canada/ON-PHL-22-08691/2022	Canada	BA.1
EPI_ISL_10208804|Canada|BA.1.1	2022-02-10	hCoV-19/Canada/ON-PHL-22-08694/2022	Canada	BA.1.1
EPI_ISL_10208811|Canada|BA.1	2022-02-11	hCoV-19/Canada/ON-PHL-22-08701/2022	Canada	BA.1
EPI_ISL_10208816|Canada|BA.1.1	2022-02-11	hCoV-19/Canada/ON-PHL-22-08706/2022	Canada	BA.1.1
EPI_ISL_10208824|Canada|BA.1	2022-02-10	hCoV-19/Canada/ON-PHL-22-08714/2022	Canada	BA.1
EPI_ISL_10208825|Canada|BA.1.1	2022-02-12	hCoV-19/Canada/ON-PHL-22-08715/2022	Canada	BA.1.1
EPI_ISL_10208827|Canada|BA.1.1	2022-02-13	hCoV-19/Canada/ON-PHL-22-08717/2022	Canada	BA.1.1
EPI_ISL_10208834|Canada|BA.1.1	2022-02-12	hCoV-19/Canada/ON-PHL-22-08724/2022	Canada	BA.1.1
EPI_ISL_10208838|Canada|BA.2	2022-02-12	hCoV-19/Canada/ON-PHL-22-08727/2022	Canada	BA.2
EPI_ISL_10208839|Canada|BA.1.1	2022-02-12	hCoV-19/Canada/ON-PHL-22-08728/2022	Canada	BA.1.1
EPI_ISL_10208841|Canada|BA.2	2022-02-10	hCoV-19/Canada/ON-PHL-22-08730/2022	Canada	BA.2
EPI_ISL_10208844|Canada|BA.2	2022-02-09	hCoV-19/Canada/ON-PHL-22-08733/2022	Canada	BA.2
EPI_ISL_10208846|Canada|BA.2	2022-02-10	hCoV-19/Canada/ON-PHL-22-08735/2022	Canada	BA.2
EPI_ISL_10208848|Canada|BA.2	2022-02-10	hCoV-19/Canada/ON-PHL-22-08737/2022	Canada	BA.2
EPI_ISL_10208855|Canada|BA.1.1	2022-02-11	hCoV-19/Canada/ON-PHL-22-08744/2022	Canada	BA.1.1
EPI_ISL_10223178|Canada|BA.1.1	2022-01-26	hCoV-19/Canada/SK-RRPL-344857/2022	Canada	BA.1.1
EPI_ISL_10223202|Canada|BA.1.1	2022-01-27	hCoV-19/Canada/SK-RRPL-344881/2022	Canada	BA.1.1
EPI_ISL_10223241|Canada|BA.1.1	2022-01-30	hCoV-19/Canada/SK-RRPL-344921/2022	Canada	BA.1.1
EPI_ISL_10223242|Canada|BA.1.1	2022-01-29	hCoV-19/Canada/SK-RRPL-344922/2022	Canada	BA.1.1
EPI_ISL_10223295|Canada|BA.1	2022-01-31	hCoV-19/Canada/SK-RRPL-351383/2022	Canada	BA.1
EPI_ISL_10223338|Canada|BA.1.1	2022-02-01	hCoV-19/Canada/SK-RRPL-351427/2022	Canada	BA.1.1
EPI_ISL_10223346|Canada|BA.1.1	2022-02-01	hCoV-19/Canada/SK-RRPL-351436/2022	Canada	BA.1.1
EPI_ISL_10233498|Canada|BA.1	2022-01-26	hCoV-19/Canada/BC-BCCDC-347674/2022	Canada	BA.1
EPI_ISL_10233521|Canada|BA.1	2022-01-27	hCoV-19/Canada/BC-BCCDC-347704/2022	Canada	BA.1
EPI_ISL_10233530|Canada|BA.2	2022-01-28	hCoV-19/Canada/BC-BCCDC-347709/2022	Canada	BA.2
EPI_ISL_10233622|Canada|BA.1	2022-01-09	hCoV-19/Canada/BC-BCCDC-347830/2022	Canada	BA.1
EPI_ISL_10234001|Canada|BA.2	2022-01-18	hCoV-19/Canada/BC-BCCDC-348333/2022	Canada	BA.2
EPI_ISL_10234462|Canada|BA.1	2022-01-23	hCoV-19/Canada/BC-BCCDC-348623/2022	Canada	BA.1
EPI_ISL_10234526|Canada|BA.1	2022-01-22	hCoV-19/Canada/BC-BCCDC-348660/2022	Canada	BA.1
EPI_ISL_10234529|Canada|BA.2	2022-01-22	hCoV-19/Canada/BC-BCCDC-348663/2022	Canada	BA.2
EPI_ISL_10234695|Canada|BA.2	2022-01-24	hCoV-19/Canada/BC-BCCDC-348724/2022	Canada	BA.2
EPI_ISL_10234820|Canada|BA.1	2022-01-21	hCoV-19/Canada/BC-BCCDC-348801/2022	Canada	BA.1
EPI_ISL_10235072|Canada|AY.4.12	2022-01-22	hCoV-19/Canada/BC-BCCDC-346582/2022	Canada	AY.4.12
EPI_ISL_10235252|Canada|BA.1	2022-01-19	hCoV-19/Canada/BC-BCCDC-346716/2022	Canada	BA.1
EPI_ISL_10235380|Canada|BA.1	2022-01-20	hCoV-19/Canada/BC-BCCDC-346809/2022	Canada	BA.1
EPI_ISL_10235410|Canada|AY.25.1	2022-01-23	hCoV-19/Canada/BC-BCCDC-346844/2022	Canada	AY.25.1
EPI_ISL_10235499|Canada|BA.1	2022-01-24	hCoV-19/Canada/BC-BCCDC-346894/2022	Canada	BA.1
EPI_ISL_10235557|Canada|BA.2	2022-01-24	hCoV-19/Canada/BC-BCCDC-346938/2022	Canada	BA.2
EPI_ISL_10235578|Canada|BA.1	2022-01-24	hCoV-19/Canada/BC-BCCDC-346955/2022	Canada	BA.1
EPI_ISL_10235646|Canada|BA.1	2022-01-08	hCoV-19/Canada/BC-BCCDC-347012/2022	Canada	BA.1
EPI_ISL_10235672|Canada|BA.1.1	2022-01-23	hCoV-19/Canada/BC-BCCDC-347028/2022	Canada	BA.1.1
EPI_ISL_10235971|Canada|BA.2	2022-01-09	hCoV-19/Canada/BC-BCCDC-347236/2022	Canada	BA.2
EPI_ISL_10236023|Canada|BA.1	2022-01-26	hCoV-19/Canada/BC-BCCDC-347278/2022	Canada	BA.1
EPI_ISL_10236105|Canada|BA.1	2022-01-25	hCoV-19/Canada/BC-BCCDC-347309/2022	Canada	BA.1
EPI_ISL_10236198|Canada|BA.1.1	2022-01-25	hCoV-19/Canada/BC-BCCDC-347371/2022	Canada	BA.1.1
EPI_ISL_10236347|Canada|BA.1	2022-01-25	hCoV-19/Canada/BC-BCCDC-347465/2022	Canada	BA.1
EPI_ISL_10236537|Canada|BA.1.1	2022-01-23	hCoV-19/Canada/BC-BCCDC-348871/2022	Canada	BA.1.1
EPI_ISL_10236572|Canada|BA.1.1	2022-01-24	hCoV-19/Canada/BC-BCCDC-348903/2022	Canada	BA.1.1
EPI_ISL_10236587|Canada|BA.2	2022-01-21	hCoV-19/Canada/BC-BCCDC-348916/2022	Canada	BA.2
EPI_ISL_10236746|Canada|BA.1.1	2022-01-26	hCoV-19/Canada/BC-BCCDC-349036/2022	Canada	BA.1.1
EPI_ISL_10236996|Canada|AY.4.12	2022-01-26	hCoV-19/Canada/BC-BCCDC-349193/2022	Canada	AY.4.12
EPI_ISL_10237012|Canada|B.1.617.2	2022-01-28	hCoV-19/Canada/BC-BCCDC-349201/2022	Canada	B.1.617.2
EPI_ISL_10237044|Canada|BA.2	2022-01-20	hCoV-19/Canada/BC-BCCDC-349226/2022	Canada	BA.2
EPI_ISL_10237114|Canada|BA.2	2022-01-27	hCoV-19/Canada/BC-BCCDC-349293/2022	Canada	BA.2
EPI_ISL_10237368|Canada|BA.1	2022-01-27	hCoV-19/Canada/BC-BCCDC-349478/2022	Canada	BA.1
EPI_ISL_10237433|Canada|BA.1.1	2022-01-27	hCoV-19/Canada/BC-BCCDC-349519/2022	Canada	BA.1.1
EPI_ISL_10237544|Canada|BA.1	2022-01-28	hCoV-19/Canada/BC-BCCDC-349579/2022	Canada	BA.1
EPI_ISL_10237575|Canada|BA.1	2022-01-28	hCoV-19/Canada/BC-BCCDC-349596/2022	Canada	BA.1
EPI_ISL_10237646|Canada|BA.1	2022-01-29	hCoV-19/Canada/BC-BCCDC-349638/2022	Canada	BA.1
EPI_ISL_10314996|Canada|AY.110	2021-10-05	hCoV-19/Canada/QC-1nEAQ-1018243/2021	Canada	AY.110
EPI_ISL_10315002|Canada|AY.122	2021-10-06	hCoV-19/Canada/QC-1nEAQ-1026145/2021	Canada	AY.122
EPI_ISL_10315011|Canada|AY.112	2021-10-14	hCoV-19/Canada/QC-1nEAQ-1035446/2021	Canada	AY.112
EPI_ISL_10315015|Canada|AY.33	2021-10-16	hCoV-19/Canada/QC-1nEAQ-1040338/2021	Canada	AY.33
EPI_ISL_10315016|Canada|AY.127	2021-10-16	hCoV-19/Canada/QC-1nEAQ-1040514/2021	Canada	AY.127
EPI_ISL_10315028|Canada|AY.43	2021-10-24	hCoV-19/Canada/QC-1nEAQ-1055803/2021	Canada	AY.43
EPI_ISL_10315037|Canada|AY.4.2.3	2021-10-29	hCoV-19/Canada/QC-1nEAQ-1062587/2021	Canada	AY.4.2.3
EPI_ISL_10315042|Canada|AY.4.4	2021-10-28	hCoV-19/Canada/QC-1nEAQ-1062763/2021	Canada	AY.4.4
EPI_ISL_10315054|Canada|AY.9.2	2021-11-05	hCoV-19/Canada/QC-1nEAQ-1077290/2021	Canada	AY.9.2
EPI_ISL_10315056|Canada|AY.121	2021-11-06	hCoV-19/Canada/QC-1nEAQ-1077655/2021	Canada	AY.121
EPI_ISL_10315073|Canada|AY.127	2021-11-12	hCoV-19/Canada/QC-1nEAQ-1090359/2021	Canada	AY.127
EPI_ISL_10315088|Canada|AY.119.1	2021-11-21	hCoV-19/Canada/QC-1nEAQ-1110144/2021	Canada	AY.119.1
EPI_ISL_10315094|Canada|AY.124.1.1	2021-11-23	hCoV-19/Canada/QC-1nEAQ-1114794/2021	Canada	AY.124.1.1
EPI_ISL_10315107|Canada|AY.9.2	2021-11-26	hCoV-19/Canada/QC-1nEAQ-1123010/2021	Canada	AY.9.2
EPI_ISL_10315109|Canada|AY.127	2021-11-28	hCoV-19/Canada/QC-1nEAQ-1126885/2021	Canada	AY.127
EPI_ISL_10315116|Canada|AY.4.2.3	2021-12-01	hCoV-19/Canada/QC-1nEAQ-1134887/2021	Canada	AY.4.2.3
EPI_ISL_10315125|Canada|AY.39.2	2021-12-03	hCoV-19/Canada/QC-1nEAQ-1138398/2021	Canada	AY.39.2
EPI_ISL_10315126|Canada|AY.4.4	2021-12-03	hCoV-19/Canada/QC-1nEAQ-1139185/2021	Canada	AY.4.4
EPI_ISL_10315127|Canada|AY.4.11	2021-12-03	hCoV-19/Canada/QC-1nEAQ-1139230/2021	Canada	AY.4.11
EPI_ISL_10315130|Canada|AY.85	2021-12-02	hCoV-19/Canada/QC-1nEAQ-1143226/2021	Canada	AY.85
EPI_ISL_10315133|Canada|AY.127	2021-12-05	hCoV-19/Canada/QC-1nEAQ-1145552/2021	Canada	AY.127
EPI_ISL_10315134|Canada|AY.133	2021-12-06	hCoV-19/Canada/QC-1nEAQ-1147181/2021	Canada	AY.133
EPI_ISL_10315135|Canada|AY.118	2021-12-06	hCoV-19/Canada/QC-1nEAQ-1147212/2021	Canada	AY.118
EPI_ISL_10315141|Canada|AY.109	2021-12-07	hCoV-19/Canada/QC-1nEAQ-1150514/2021	Canada	AY.109
EPI_ISL_10315160|Canada|AY.7.1	2021-12-18	hCoV-19/Canada/QC-1nEAQ-1187570/2021	Canada	AY.7.1
EPI_ISL_10315175|Canada|BA.1.1	2021-12-20	hCoV-19/Canada/QC-1nEAQ-1195053/2021	Canada	BA.1.1
EPI_ISL_10315179|Canada|AY.117	2021-12-20	hCoV-19/Canada/QC-1nEAQ-1195869/2021	Canada	AY.117
EPI_ISL_10315181|Canada|BA.1.1	2021-12-18	hCoV-19/Canada/QC-1nEAQ-1195938/2021	Canada	BA.1.1
EPI_ISL_10315190|Canada|AY.109	2021-12-20	hCoV-19/Canada/QC-1nEAQ-1196412/2021	Canada	AY.109
EPI_ISL_10315191|Canada|BA.1	2021-12-20	hCoV-19/Canada/QC-1nEAQ-1196415/2021	Canada	BA.1
EPI_ISL_10315195|Canada|AY.4.2.1	2021-12-20	hCoV-19/Canada/QC-1nEAQ-1196877/2021	Canada	AY.4.2.1
EPI_ISL_10315216|Canada|BA.1	2021-12-19	hCoV-19/Canada/QC-1nEAQ-1199700/2021	Canada	BA.1
EPI_ISL_10315222|Canada|AY.33	2021-12-19	hCoV-19/Canada/QC-1nEAQ-1199894/2021	Canada	AY.33
EPI_ISL_10315246|Canada|AY.112	2021-08-17	hCoV-19/Canada/QC-1nEAQ-904790/2021	Canada	AY.112
EPI_ISL_10315258|Canada|AY.33	2021-08-17	hCoV-19/Canada/QC-1nEAQ-906556/2021	Canada	AY.33
EPI_ISL_10315263|Canada|AY.98.1	2021-08-17	hCoV-19/Canada/QC-1nEAQ-907024/2021	Canada	AY.98.1
EPI_ISL_10315313|Canada|AY.36	2021-08-21	hCoV-19/Canada/QC-1nEAQ-915787/2021	Canada	AY.36
EPI_ISL_10315327|Canada|AY.51	2021-08-23	hCoV-19/Canada/QC-1nEAQ-919110/2021	Canada	AY.51
EPI_ISL_10315345|Canada|AY.33	2021-08-24	hCoV-19/Canada/QC-1nEAQ-922422/2021	Canada	AY.33
EPI_ISL_10315372|Canada|AY.122.1	2021-08-27	hCoV-19/Canada/QC-1nEAQ-930911/2021	Canada	AY.122.1
EPI_ISL_10315374|Canada|AY.72	2021-08-27	hCoV-19/Canada/QC-1nEAQ-931003/2021	Canada	AY.72
EPI_ISL_10315377|Canada|AY.64	2021-08-27	hCoV-19/Canada/QC-1nEAQ-931219/2021	Canada	AY.64
EPI_ISL_10315388|Canada|AY.122	2021-08-30	hCoV-19/Canada/QC-1nEAQ-936815/2021	Canada	AY.122
EPI_ISL_10315396|Canada|AZ.5	2021-09-01	hCoV-19/Canada/QC-1nEAQ-939648/2021	Canada	AZ.5
EPI_ISL_10315403|Canada|AY.65	2021-09-01	hCoV-19/Canada/QC-1nEAQ-940708/2021	Canada	AY.65
EPI_ISL_10315409|Canada|AY.37	2021-09-01	hCoV-19/Canada/QC-1nEAQ-941872/2021	Canada	AY.37
EPI_ISL_10315432|Canada|AY.128	2021-09-03	hCoV-19/Canada/QC-1nEAQ-948301/2021	Canada	AY.128
EPI_ISL_10315450|Canada|AY.111	2021-09-06	hCoV-19/Canada/QC-1nEAQ-953726/2021	Canada	AY.111
EPI_ISL_10315455|Canada|AY.4.2.3	2021-09-05	hCoV-19/Canada/QC-1nEAQ-955592/2021	Canada	AY.4.2.3
EPI_ISL_10315463|Canada|AY.121	2021-09-05	hCoV-19/Canada/QC-1nEAQ-958347/2021	Canada	AY.121
EPI_ISL_10315465|Canada|AY.100	2021-09-09	hCoV-19/Canada/QC-1nEAQ-959533/2021	Canada	AY.100
EPI_ISL_10315467|Canada|AY.126	2021-09-08	hCoV-19/Canada/QC-1nEAQ-959858/2021	Canada	AY.126
EPI_ISL_10315480|Canada|AY.33	2021-09-12	hCoV-19/Canada/QC-1nEAQ-968013/2021	Canada	AY.33
EPI_ISL_10315493|Canada|AY.46	2021-09-15	hCoV-19/Canada/QC-1nEAQ-975071/2021	Canada	AY.46
EPI_ISL_10315494|Canada|AY.78	2021-09-16	hCoV-19/Canada/QC-1nEAQ-976295/2021	Canada	AY.78
EPI_ISL_10315500|Canada|AY.30	2021-09-16	hCoV-19/Canada/QC-1nEAQ-977279/2021	Canada	AY.30
EPI_ISL_10315509|Canada|AY.28	2021-09-17	hCoV-19/Canada/QC-1nEAQ-981642/2021	Canada	AY.28
EPI_ISL_10315510|Canada|AY.121	2021-09-17	hCoV-19/Canada/QC-1nEAQ-984631/2021	Canada	AY.121
EPI_ISL_10315511|Canada|AY.33	2021-09-18	hCoV-19/Canada/QC-1nEAQ-984804/2021	Canada	AY.33
EPI_ISL_10315512|Canada|AY.114	2021-09-18	hCoV-19/Canada/QC-1nEAQ-985219/2021	Canada	AY.114
EPI_ISL_10315531|Canada|AY.114	2021-09-24	hCoV-19/Canada/QC-1nEAQ-998321/2021	Canada	AY.114
EPI_ISL_10321439|Canada|BA.1	2022-01-25	hCoV-19/Canada/AB-ABPHL-53304/2022	Canada	BA.1
EPI_ISL_10321469|Canada|BA.1	2022-01-30	hCoV-19/Canada/AB-ABPHL-53338/2022	Canada	BA.1
EPI_ISL_10321487|Canada|BA.1.1	2022-01-28	hCoV-19/Canada/AB-ABPHL-53357/2022	Canada	BA.1.1
EPI_ISL_10321503|Canada|BA.2	2022-02-01	hCoV-19/Canada/AB-ABPHL-53373/2022	Canada	BA.2
EPI_ISL_10321563|Canada|BA.1	2022-01-29	hCoV-19/Canada/AB-ABPHL-53437/2022	Canada	BA.1
EPI_ISL_10321698|Canada|AY.25.1	2022-02-06	hCoV-19/Canada/AB-ABPHL-53604/2022	Canada	AY.25.1
EPI_ISL_10321699|Canada|AY.103	2022-02-08	hCoV-19/Canada/AB-ABPHL-53605/2022	Canada	AY.103
EPI_ISL_10321730|Canada|BA.2	2022-01-31	hCoV-19/Canada/AB-ABPHL-53637/2022	Canada	BA.2
EPI_ISL_10321735|Canada|BA.2	2022-01-31	hCoV-19/Canada/AB-ABPHL-53642/2022	Canada	BA.2
EPI_ISL_10321746|Canada|BA.2	2022-01-30	hCoV-19/Canada/AB-ABPHL-53653/2022	Canada	BA.2
EPI_ISL_10321750|Canada|BA.2	2022-01-31	hCoV-19/Canada/AB-ABPHL-53657/2022	Canada	BA.2
EPI_ISL_10321785|Canada|BA.2	2022-01-29	hCoV-19/Canada/AB-ABPHL-53693/2022	Canada	BA.2
EPI_ISL_10321795|Canada|BA.2	2022-02-02	hCoV-19/Canada/AB-ABPHL-53707/2022	Canada	BA.2
EPI_ISL_10321874|Canada|BA.1	2022-02-02	hCoV-19/Canada/AB-ABPHL-53799/2022	Canada	BA.1
EPI_ISL_10321895|Canada|BA.1.1	2022-02-03	hCoV-19/Canada/AB-ABPHL-53824/2022	Canada	BA.1.1
EPI_ISL_10321904|Canada|BA.1.1	2022-02-04	hCoV-19/Canada/AB-ABPHL-53837/2022	Canada	BA.1.1
EPI_ISL_10329289|Canada|BA.1	2022-01-18	hCoV-19/Canada/QC-1nIEOQ-7056958597/2022	Canada	BA.1
EPI_ISL_10329315|Canada|AY.126	2022-01-19	hCoV-19/Canada/QC-1nDJXW-512592591/2022	Canada	AY.126
EPI_ISL_10329334|Canada|B.1.598	2020-04-20	hCoV-19/Canada/QC-L00432043001/2020	Canada	B.1.598
EPI_ISL_10329342|Canada|B.1.147	2020-07-14	hCoV-19/Canada/QC-L00432064001/2020	Canada	B.1.147
EPI_ISL_10341362|Canada|BA.1	2022-01-18	hCoV-19/Canada/QC-1nDJXP-8140441972/2022	Canada	BA.1
EPI_ISL_10341438|Canada|AY.126	2022-01-24	hCoV-19/Canada/QC-1nIFO-U1241963IA/2022	Canada	AY.126
EPI_ISL_10347331|Canada|BA.1	2022-01-31	hCoV-19/Canada/MB-CPL-346413/2022	Canada	BA.1
EPI_ISL_10347339|Canada|BA.1	2022-02-02	hCoV-19/Canada/MB-CPL-346426/2022	Canada	BA.1
EPI_ISL_10347357|Canada|BA.1	2022-01-30	hCoV-19/Canada/MB-CPL-346451/2022	Canada	BA.1
EPI_ISL_10347377|Canada|BA.1	2022-02-01	hCoV-19/Canada/MB-CPL-346481/2022	Canada	BA.1
EPI_ISL_10347393|Canada|BA.1	2022-02-04	hCoV-19/Canada/MB-CPL-350834/2022	Canada	BA.1
EPI_ISL_10347394|Canada|BA.1.1	2022-02-05	hCoV-19/Canada/MB-CPL-350840/2022	Canada	BA.1.1
EPI_ISL_10347395|Canada|BA.1	2022-02-07	hCoV-19/Canada/MB-CPL-350842/2022	Canada	BA.1
EPI_ISL_10347396|Canada|BA.1	2022-02-03	hCoV-19/Canada/MB-CPL-350844/2022	Canada	BA.1
EPI_ISL_10347418|Canada|BA.1	2022-02-05	hCoV-19/Canada/MB-CPL-350874/2022	Canada	BA.1
